2017-06-07 10:15:39 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:15:39  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:15:39  2  0      0 15110128  42752 880752    0    0   120    18  108  208  1  1 98  0  0
2017-06-07 10:15:40  0  0      0 15109848  42752 880752    0    0     0     0  699 1766  1  0 99  0  0
2017-06-07 10:15:41  0  0      0 15109880  42752 880752    0    0     0     0 1037 2304  1  0 99  0  0
2017-06-07 10:15:42  0  0      0 15109848  42752 880756    0    0     0     0  473  814  0  0 100  0  0
2017-06-07 10:15:43  0  0      0 15107820  42752 880756    0    0     0     0 2556 5647  2  1 97  0  0
2017-06-07 10:15:44  0  0      0 15107836  42752 880756    0    0     0     0  917 1832  1  0 99  0  0
2017-06-07 10:15:45  0  0      0 15108532  42776 880772    0    0     0   176 2229 5591  3  0 97  0  0
2017-06-07 10:15:46  0  0      0 15108364  42776 880776    0    0     0     4 1099 2337  1  0 98  0  0
2017-06-07 10:15:47  0  0      0 15108276  42776 880768    0    0     0     0  629  938  0  0 99  0  0
2017-06-07 10:15:48  0  0      0 15108244  42776 880772    0    0     0     0  356  629  0  0 100  0  0
2017-06-07 10:15:49  0  0      0 15108060  42776 880772    0    0     0     0  960 1765  1  0 99  0  0
2017-06-07 10:15:50  0  0      0 15108956  42788 880832    0    0     0    76  605  897  0  1 99  0  0
2017-06-07 10:15:51  0  1      0 15061272  43100 901428    0    0 21372     0 2087 2279  2  1 95  2  0
2017-06-07 10:15:52  2  0      0 14959668  43108 904628    0    0  2660     0 1514 2596  8  1 90  0  0
2017-06-07 10:15:53  7  0      0 14934828  43172 908344    0    0  4788   376 2530 3314  6  1 92  1  0
2017-06-07 10:15:54  2  8      0 14782364  43808 933960    0    0 26300  4268 5462 6683 12  2 66 20  0
2017-06-07 10:15:55  1  9      0 14652808  44080 971412    0    0 22416 14552 5062 5881 10  3 63 25  0
2017-06-07 10:15:56  1  8      0 14520692  44380 1003748    0    0 21860 10300 5374 6264 12  3 61 25  0
2017-06-07 10:15:57  3  8      0 14428572  44712 1038792    0    0 24992 11880 5335 6626 12  2 63 23  0
2017-06-07 10:15:58  2  6      0 14357592  45016 1076820    0    0 26036 11160 5446 6496 12  2 65 22  0
2017-06-07 10:15:59  7  3      0 14287800  45336 1112392    0    0 25224 11012 5082 6532 13  2 66 19  0
2017-06-07 10:16:00 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:16:00  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:16:00  4  8      0 14227224  45604 1145220    0    0 22372 10628 4792 7179 11  2 65 22  0
2017-06-07 10:16:01  8  3      0 14157432  45952 1181028    0    0 25508 11112 5535 7149 12  2 61 26  0
2017-06-07 10:16:02  2  4      0 14085588  46252 1221100    0    0 27012 12788 5888 6825 12  1 66 21  0
2017-06-07 10:16:03  7  5      0 14005408  46632 1263836    0    0 30812 13352 6200 8053 14  2 60 24  0
2017-06-07 10:16:04  2  5      0 13930176  46964 1305484    0    0 28992 12168 5436 6875 12  2 59 28  0
2017-06-07 10:16:05  3  2      0 13886284  47416 1331976    0    0 15536 24560 4627 6442  7  1 73 19  0
2017-06-07 10:16:06  0  1      0 13871764  49296 1337856    0    0  5128 16472 6771 11474  2  2 90  6  0
2017-06-07 10:16:07  1  1      0 13853188  50648 1347348    0    0  8440 15348 6065 9509  4  2 87  8  0
2017-06-07 10:16:08  2  0      0 13841692  52248 1358144    0    0  8836 20604 7122 12465  6  2 85  6  0
2017-06-07 10:16:09  0  1      0 13814712  53752 1369412    0    0 11056 13108 6936 10806  6  1 83 10  0
2017-06-07 10:16:10  1  2      0 13779612  55200 1390228    0    0 12696 19060 7422 11782  5  2 83 11  0
2017-06-07 10:16:11  5  2      0 13753032  56608 1405212    0    0 12508 17188 6886 11281  6  2 82 10  0
2017-06-07 10:16:12  2  3      0 13714068  58288 1421628    0    0 13520 12724 10629 22167 13  3 76  8  0
2017-06-07 10:16:13  1  1      0 13693868  59616 1433048    0    0  9724 15136 6727 10740  6  2 84  8  0
2017-06-07 10:16:14  1  5      0 13666968  61288 1445312    0    0 10912 15272 7877 12937  7  2 84  8  0
2017-06-07 10:16:15  1  1      0 13658004  63164 1457360    0    0  9656 16160 8353 14009  6  2 84  8  0
2017-06-07 10:16:16  7  3      0 13623920  64468 1473912    0    0 14940 14768 8242 13827 10  2 77 11  0
2017-06-07 10:16:17  0  1      0 13589492  65916 1494752    0    0 13020 19856 7426 12237  8  2 81 10  0
2017-06-07 10:16:18  1  0      0 13562760  67140 1507700    0    0 10420 17956 6650 10421  6  2 81 12  0
2017-06-07 10:16:19  1  2      0 13549320  68592 1520816    0    0 10556 13108 7088 11229  5  1 83 11  0
2017-06-07 10:16:20  1  0      0 13520124  69984 1534324    0    0 14276 13856 7451 11923  9  2 78 11  0
2017-06-07 10:16:21 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:16:21  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:16:21  1  1      0 13497696  71816 1544748    0    0 10368 18384 7735 12378  6  2 84  9  0
2017-06-07 10:16:22  0  1      0 13474128  73408 1563844    0    0 13920 16652 7756 12268  7  2 81 10  0
2017-06-07 10:16:23  0  1      0 13448560  74680 1574608    0    0 10320 21804 6436 9801  4  2 85  9  0
2017-06-07 10:16:24  0  2      0 13424828  74956 1577108    0    0   420 36484 10029 20491  8  3 84  5  0
2017-06-07 10:16:25  6  6      0 13393064  75180 1592356    0    0 15648 16996 10016 20137 15  3 59 23  0
2017-06-07 10:16:26  1  7      0 13374064  75376 1607524    0    0 10064 37288 5969 9614  8  2 75 15  0
2017-06-07 10:16:27 16 10      0 13345000  75580 1626528    0    0 14416 26104 9631 19594 14  3 68 14  0
2017-06-07 10:16:28  3  5      0 13320252  75788 1642984    0    0 14304 29468 6039 9707  9  2 72 17  0
2017-06-07 10:16:29  9  3      0 13285436  76076 1666340    0    0 20016 28360 6017 8522 11  1 67 20  0
2017-06-07 10:16:30  4  8      0 13253408  76284 1684168    0    0 11968 29808 9201 17202 15  3 64 18  0
2017-06-07 10:16:31  2 10      0 13223732  76500 1701676    0    0 17344 19156 9215 18524 16  3 61 21  0
2017-06-07 10:16:32 16  1      0 13195112  76756 1719788    0    0 13232 31340 9466 18093 18  3 64 15  0
2017-06-07 10:16:33  1  7      0 13175356  76936 1735064    0    0 10688 33756 8607 16270 11  2 69 18  0
2017-06-07 10:16:34  1  1      0 13137268  77180 1755828    0    0 19104 20548 10691 19656 16  3 58 23  0
2017-06-07 10:16:35  0  8      0 13107800  77344 1770412    0    0 11056 32128 5752 9656  7  1 73 18  0
2017-06-07 10:16:36  2  7      0 13098364  77572 1791224    0    0 16288 22068 6884 12002 14  2 62 22  0
2017-06-07 10:16:37  1  1      0 13082208  77772 1800120    0    0  6784 33084 5538 8355  6  1 76 17  0
2017-06-07 10:16:38  2  7      0 13054468  77948 1816488    0    0 11696 29480 5241 7404  8  1 70 21  0
2017-06-07 10:16:39  0  6      0 13010328  78200 1841676    0    0 20624 27856 5818 7932  9  1 69 20  0
2017-06-07 10:16:40  2 12      0 12988100  78396 1853000    0    0 10208 31984 4799 6898  4  1 77 18  0
2017-06-07 10:16:41  1 10      0 12919544  78676 1877260    0    0 19396 25016 11268 24342 19  3 58 21  0
2017-06-07 10:16:42 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:16:42  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:16:42  7  1      0 12897364  78912 1892180    0    0  9640 33240 8491 16126 11  2 71 16  0
2017-06-07 10:16:43  8  3      0 12872528  79152 1905936    0    0 12736 26128 6942 11686 10  2 71 16  0
2017-06-07 10:16:44  0  1      0 12845160  79352 1924308    0    0 14048 29900 5720 8531 10  2 68 20  0
2017-06-07 10:16:45  4 10      0 12818200  79576 1948244    0    0 19008 23472 10075 17332 16  2 61 20  0
2017-06-07 10:16:46  0  1      0 12794372  79824 1967380    0    0 19360 19208 16559 31392 21  3 61 15  0
2017-06-07 10:16:47  2  9      0 12749932  80068 1988140    0    0 16592 29468 11836 22037 13  2 70 14  0
2017-06-07 10:16:48  1  7      0 12692224  80312 2011264    0    0 22016 19284 16149 32452 23  4 59 14  0
2017-06-07 10:16:49  3  0      0 12688844  80572 2029564    0    0 15412 29780 17560 32722 19  3 64 15  0
2017-06-07 10:16:50  2  3      0 12638280  80804 2047592    0    0 16020 23304 9849 17992 13  2 69 16  0
2017-06-07 10:16:51  2  0      0 12614784  81076 2067676    0    0 14864 30680 11683 20836 13  2 74 11  0
2017-06-07 10:16:52  0  1      0 12573116  81380 2084852    0    0 16548 24336 15422 32190 21  4 63 12  0
2017-06-07 10:16:53  3  9      0 12522104  81644 2105172    0    0 15648 31172 16647 32439 21  3 64 12  0
2017-06-07 10:16:54 18  1      0 12492644  81924 2123576    0    0 18544 21856 14770 27936 19  2 62 17  0
2017-06-07 10:16:55  1  1      0 12470380  82148 2143480    0    0 15440 29420 12435 23842 21  4 58 17  0
2017-06-07 10:16:56  1  1      0 12476932  82396 2160296    0    0 16800 18096 13917 25884 19  4 62 14  0
2017-06-07 10:16:57  5  0      0 12464260  82596 2175240    0    0 13392 28308 8996 15414 11  2 72 15  0
2017-06-07 10:16:58  6  5      0 12446284  82836 2195456    0    0 15684 33644 10655 18697 11  2 71 16  0
2017-06-07 10:16:59  1  2      0 12434120  83072 2209648    0    0 12640 27892 11872 21866 13  2 70 16  0
2017-06-07 10:17:00  0  1      0 12411168  83284 2232804    0    0 17984 29720 11135 19009 12  2 70 16  0
2017-06-07 10:17:01  5  7      0 12387156  83600 2251716    0    0 17216 23900 14964 29180 15  2 70 12  0
2017-06-07 10:17:02  4  7      0 12370768  83868 2271772    0    0 15824 28876 13137 24291 11  2 70 16  0
2017-06-07 10:17:03 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:17:03  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:17:03  2  0      0 12354772  84112 2288004    0    0 17056 25888 11815 21469 12  2 72 14  0
2017-06-07 10:17:04  1  1      0 12335028  84352 2309548    0    0 16848 24084 14436 27215 17  3 66 13  0
2017-06-07 10:17:05  6  2      0 12326416  84616 2323516    0    0 12544 31056 8113 14169 11  1 76 11  0
2017-06-07 10:17:06 11  0      0 12303000  84968 2347696    0    0 20048 20916 13236 27547 18  2 70 10  0
2017-06-07 10:17:07  1  6      0 12284908  85200 2364584    0    0 12496 34436 8050 14762 10  1 74 14  0
2017-06-07 10:17:08  2  6      0 12271512  85504 2381676    0    0 16080 22412 16440 30758 15  2 73 10  0
2017-06-07 10:17:09  3  9      0 12254432  85736 2400100    0    0 13904 31412 9466 16995 11  1 72 15  0
2017-06-07 10:17:10  3  6      0 12237356  85996 2420756    0    0 15952 22140 13647 26631 15  3 70 13  0
