op,count,p25_low,p25_high,p50_low,p50_high,p75_low,p75_high,p95_low,p95_high,p99_low,p99_high,max,mean
ADD_NODE,1287165,11,12,34,35,100,200,500,600,800,900,1874.9,137.21
UPDATE_NODE,3681610,21,22,100,200,200,300,700,800,1000,2000,2699.22,196.45
DELETE_NODE,504819,19,20,63,64,200,300,600,700,900,1000,2003.96,178.87
GET_NODE,6465960,9,10,52,53,200,300,600,700,900,1000,2684.23,168.87
ADD_LINK,4495913,10,11,19,20,100,200,400,500,900,1000,2737.83,94.23
DELETE_LINK,1496539,3,4,14,15,100,200,300,400,800,900,2294.6,78.19
UPDATE_LINK,4005199,10,11,19,20,100,200,400,500,800,900,2707.31,92.44
COUNT_LINK,2444298,0.4,0.5,2,3,11,12,200,300,500,600,2243.71,41.95
MULTIGET_LINK,262765,0.5,0.6,1,2,9,10,100,200,500,600,1874.65,36.89
GET_LINKS_LIST,25355732,0.5,0.6,1,2,7,8,100,200,400,500,7599.16,32.51
