threadID,timestamp,op,totalops,totalerrors,ops,sampleDuration_us,sampleOps,mean_us,min_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,max_us
10,1496812390,LOAD_NODE_BULK,98,0,98,14170,98,141116.32653061225,29271,106191,140912,165974,200825,321533,474218,474218
3,1496812395,LOAD_LINKS_BULK,39,0,39,19356,39,431030.2051282051,21729,81764,149705,786552,1119634,1302244,1555386,1555386
3,1496812395,LOAD_COUNTS_BULK,7,0,7,19356,7,356546.85714285716,131992,187372,245198,426045,884537,884537,884537,884537
3,1496812395,LOAD_LINKS_BULK_NLINKS,39,0,39,19356,39,1005.1025641025641,287,1024,1024,1024,1024,1024,1024,1024
3,1496812395,LOAD_COUNTS_BULK_NLINKS,7,0,7,19356,7,896.2857142857143,130,1024,1024,1024,1024,1024,1024,1024
4,1496812395,LOAD_LINKS_BULK,45,0,45,19748,45,387067.02222222224,43803,126611,168311,529435,1060063,1334791,1392433,1392433
4,1496812395,LOAD_COUNTS_BULK,7,0,7,19748,7,322997.14285714284,67735,88240,215897,363703,1017127,1017127,1017127,1017127
4,1496812395,LOAD_LINKS_BULK_NLINKS,45,0,45,19748,45,1016.7111111111111,696,1024,1024,1024,1024,1024,1024,1024
4,1496812395,LOAD_COUNTS_BULK_NLINKS,7,0,7,19748,7,901.0,163,1024,1024,1024,1024,1024,1024,1024
7,1496812396,LOAD_LINKS_BULK,29,0,29,21228,29,621160.1724137932,37060,196732,714257,921383,1076509,1220515,1444282,1444282
7,1496812396,LOAD_COUNTS_BULK,8,0,8,21228,8,396098.0,153587,192604,363276,424442,1034070,1034070,1034070,1034070
7,1496812396,LOAD_LINKS_BULK_NLINKS,29,0,29,21228,29,1014.5172413793103,749,1024,1024,1024,1024,1024,1024,1024
7,1496812396,LOAD_COUNTS_BULK_NLINKS,8,0,8,21228,8,984.75,710,1024,1024,1024,1024,1024,1024,1024
2,1496812397,LOAD_LINKS_BULK,25,0,25,21427,25,743068.2,55541,301773,686536,1205900,1568961,1652028,1689894,1689894
2,1496812397,LOAD_COUNTS_BULK,8,0,8,21427,8,351392.0,151612,327946,383699,400854,469262,469262,469262,469262
2,1496812397,LOAD_LINKS_BULK_NLINKS,25,0,25,21427,25,991.04,200,1024,1024,1024,1024,1024,1024,1024
