2017-06-07 10:40:52 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:40:52  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:40:52  0  0      0 14639244  48048 1181420    0    0    49    11   57  105  1  0 99  0  0
2017-06-07 10:40:53  0  0      0 14638932  48056 1181452    0    0     0    48  518 1091  0  0 100  0  0
2017-06-07 10:40:54  0  0      0 14638808  48056 1181452    0    0     0     0 2354 5309  2  1 97  0  0
2017-06-07 10:40:55  0  0      0 14639040  48056 1181452    0    0     0     0 1211 2558  1  0 99  0  0
2017-06-07 10:40:56  0  0      0 14638964  48056 1181456    0    0     0     0  390 1125  0  0 100  0  0
2017-06-07 10:40:57  0  0      0 14639040  48056 1181456    0    0     0     0  512  998  0  0 100  0  0
2017-06-07 10:40:58  0  0      0 14639168  48056 1181456    0    0     0     0 1115 2396  1  0 99  0  0
2017-06-07 10:40:59  0  0      0 14638936  48056 1181456    0    0     0     0 1116 1918  1  0 99  0  0
2017-06-07 10:41:00  0  0      0 14639040  48056 1181456    0    0     0     0  742 1585  1  0 99  0  0
2017-06-07 10:41:01  0  0      0 14636120  48064 1181368    0    0     0    16 3099 6821  3  1 96  0  0
2017-06-07 10:41:02  0  0      0 14634160  48064 1181320    0    0     0     0  460  682  0  0 100  0  0
2017-06-07 10:41:03  0  0      0 14633832  48064 1181320    0    0     0     0 1085 2940  1  0 99  0  0
2017-06-07 10:41:04  0  0      0 14634160  48064 1181320    0    0     0     0  919 2281  1  0 99  0  0
2017-06-07 10:41:05  0  0      0 14629912  48092 1185696    0    0  4368     0 1875 2232  1  1 97  1  0
2017-06-07 10:41:06  0  0      0 14630056  48092 1185700    0    0     0     0  866 2139  0  0 99  0  0
2017-06-07 10:41:07  0  0      0 14629792  48100 1185704    0    0     0   220 1102 2754  1  0 99  0  0
2017-06-07 10:41:08  0  0      0 14628880  48104 1186284    0    0   556     0  554 1090  0  0 100  0  0
2017-06-07 10:41:09  0  0      0 14628876  48104 1186284    0    0     0     0  386  792  0  0 100  0  0
2017-06-07 10:41:10  0  0      0 14626140  48104 1188188    0    0  1904     0  640 1198  1  0 99  0  0
2017-06-07 10:41:11  0  0      0 14625976  48104 1188188    0    0     0     0  347  583  0  0 100  0  0
2017-06-07 10:41:12  1  0      0 14627820  48104 1188188    0    0     0     0 1106 2143  1  0 99  0  0
2017-06-07 10:41:13 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:41:13  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:41:13  1  0      0 14628116  48112 1188188    0    0     0    52 1110 2413  1  0 99  0  0
2017-06-07 10:41:14  0  0      0 14627948  48112 1188188    0    0     0     0 1002 2265  1  0 99  0  0
2017-06-07 10:41:15  0  0      0 14627948  48112 1188192    0    0     0     0  704 1685  1  0 99  0  0
2017-06-07 10:41:16  0  0      0 14629932  48112 1188192    0    0     0     0 1170 2716  1  0 99  0  0
2017-06-07 10:41:17  0  0      0 14629932  48112 1188192    0    0     0     0  692 1683  0  0 100  0  0
2017-06-07 10:41:18  0  0      0 14629932  48112 1188196    0    0     0     0  503 1071  0  0 99  0  0
2017-06-07 10:41:19  0  0      0 14629916  48112 1188196    0    0     0     0  782 1814  1  0 99  0  0
2017-06-07 10:41:20  0  0      0 14629948  48120 1188204    0    0     8    12  420  831  0  0 100  0  0
2017-06-07 10:41:21  1  0      0 14629884  48120 1188204    0    0     0     0 1101 2359  1  0 99  0  0
2017-06-07 10:41:22  0  0      0 14630692  48120 1188308    0    0   100     4  925 1750  0  0 100  0  0
2017-06-07 10:41:23  0  0      0 14630888  48120 1188316    0    0     8     0 1502 3096  2  0 98  0  0
2017-06-07 10:41:24  0  0      0 14630784  48120 1188320    0    0     0     0  627 1211  0  0 100  0  0
2017-06-07 10:41:25  0  0      0 14630888  48120 1188320    0    0     0     0  763 1631  1  0 99  0  0
2017-06-07 10:41:26  0  0      0 14632388  48120 1188320    0    0     0     0 1369 3340  2  0 98  0  0
2017-06-07 10:41:27  0  0      0 14615916  48576 1207124    0    0 19096   172 1587 2654  2  1 96  1  0
2017-06-07 10:41:28  0  0      0 14615884  48576 1207128    0    0     0     0  365  679  0  0 100  0  0
2017-06-07 10:41:29  0  0      0 14615872  48576 1207128    0    0     0     0  304  520  0  0 100  0  0
2017-06-07 10:41:30  0  0      0 14615872  48576 1207128    0    0     0     0  610  946  0  0 100  0  0
2017-06-07 10:41:31  0  0      0 14615792  48576 1207176    0    0     0     0  588 1003  0  0 99  0  0
2017-06-07 10:41:32  0  0      0 14615792  48584 1207176    0    0     0    76  341  592  0  0 100  0  0
2017-06-07 10:41:33  0  0      0 14615792  48584 1207180    0    0     0     0  271  711  0  0 100  0  0
2017-06-07 10:41:34 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:41:34  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:41:34  1  0      0 14615632  48584 1207180    0    0     0     0  323  699  1  0 99  0  0
2017-06-07 10:41:35  0  0      0 14615792  48584 1207180    0    0     0     0  204  362  0  0 100  0  0
2017-06-07 10:41:36  0  0      0 14615916  48584 1207180    0    0     0     0  435  783  0  0 100  0  0
2017-06-07 10:41:37  0  0      0 14616008  48584 1207180    0    0     0     0 1086 1984  0  0 99  0  0
2017-06-07 10:41:38  0  0      0 14615968  48592 1207188    0    0     0    12  479  581  0  0 100  0  0
2017-06-07 10:41:39  0  0      0 14613888  48592 1207188    0    0     0     0  298  330  0  0 100  0  0
2017-06-07 10:41:40  0  0      0 14613856  48592 1207188    0    0     0     0  295  326  0  0 100  0  0
2017-06-07 10:41:41  0  0      0 14613888  48592 1207188    0    0     0     0  245  377  0  0 100  0  0
2017-06-07 10:41:42  0  0      0 14613872  48592 1207192    0    0     0     0  199  320  0  0 100  0  0
2017-06-07 10:41:43  0  0      0 14613872  48592 1207196    0    0     0     0  135  174  0  0 100  0  0
2017-06-07 10:41:44  0  0      0 14613904  48592 1207196    0    0     0     0  122  154  0  0 100  0  0
2017-06-07 10:41:45  0  0      0 14613872  48592 1207196    0    0     0     0  151  197  0  0 100  0  0
2017-06-07 10:41:46  0  0      0 14613872  48592 1207196    0    0     0     0  273  402  0  0 100  0  0
2017-06-07 10:41:47  0  0      0 14613748  48600 1207196    0    0     0   184  297  370  0  0 100  0  0
2017-06-07 10:41:48  0  0      0 14613748  48600 1207196    0    0     0     0  228  366  0  0 100  0  0
2017-06-07 10:41:49  0  0      0 14613740  48600 1207204    0    0     0     0  118  241  0  0 100  0  0
2017-06-07 10:41:50  0  0      0 14613772  48600 1207204    0    0     0     0  139  253  0  0 100  0  0
2017-06-07 10:41:51  0  0      0 14613772  48600 1207208    0    0     0     0  163  321  0  0 100  0  0
2017-06-07 10:41:52  0  0      0 14613772  48600 1207208    0    0     0     0  255  456  0  0 100  0  0
2017-06-07 10:41:53  0  0      0 14613804  48600 1207208    0    0     0     0  271  444  0  0 100  0  0
2017-06-07 10:41:54  0  0      0 14613804  48600 1207208    0    0     0     0  343  532  0  0 100  0  0
2017-06-07 10:41:55 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-07 10:41:55  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-07 10:41:55  0  0      0 14613804  48600 1207208    0    0     0     0  233  362  0  0 100  0  0
2017-06-07 10:41:56  0  0      0 14613896  48608 1207208    0    0     0    12  248  450  0  0 100  0  0
2017-06-07 10:41:57  1  0      0 14613960  48608 1207212    0    0     0     4 1039 2368  1  0 99  0  0
2017-06-07 10:41:58  0  0      0 14613960  48608 1207212    0    0     0     0  245  290  0  0 100  0  0
2017-06-07 10:41:59  0  0      0 14613960  48608 1207212    0    0     0     0  515 1802  1  0 99  0  0
2017-06-07 10:42:00  0  0      0 14613856  48608 1207212    0    0     0     0 2959 7339  2  1 97  0  0
2017-06-07 10:42:01  0  0      0 14613836  48608 1207220    0    0     0     0 2058 5796  1  0 98  0  0
2017-06-07 10:42:02  1  0      0 14613400  48616 1207244    0    0     0    60 3809 9544  3  1 96  0  0
2017-06-07 10:42:03  0  0      0 14613368  48616 1207256    0    0     0     0  526 1145  0  0 100  0  0
2017-06-07 10:42:04  0  0      0 14613400  48616 1207256    0    0     0     0  370  673  0  0 100  0  0
2017-06-07 10:42:05  0  0      0 14613400  48616 1207256    0    0     0     0  395  946  0  0 100  0  0
2017-06-07 10:42:06  0  0      0 14613400  48616 1207256    0    0     0     0  514 1096  0  0 99  0  0
2017-06-07 10:42:07  0  0      0 14613276  48616 1207256    0    0     0    16  381  882  0  0 100  0  0
2017-06-07 10:42:08  0  0      0 14613244  48624 1207248    0    0     0    24  456 1012  0  0 100  0  0
2017-06-07 10:42:09  0  0      0 14613264  48624 1207256    0    0     0     0 3084 9110  2  1 97  0  0
2017-06-07 10:42:10  0  0      0 14613232  48624 1207260    0    0     0     0  562 1502  1  0 99  0  0
2017-06-07 10:42:11  0  0      0 14613232  48624 1207260    0    0     0     0  564  946  0  0 100  0  0
