op,count,p25_low,p25_high,p50_low,p50_high,p75_low,p75_high,p95_low,p95_high,p99_low,p99_high,max,mean
ADD_NODE,1286141,8,9,39,40,100,200,400,500,600,700,1520.97,117.83
UPDATE_NODE,3682943,14,15,100,200,200,300,400,500,700,800,1690.38,158.17
DELETE_NODE,504893,12,13,100,200,200,300,400,500,600,700,1539.18,144.32
GET_NODE,6469027,7,8,100,200,200,300,400,500,600,700,1580.48,140.91
ADD_LINK,4494181,6,7,13,14,100,200,200,300,500,600,1785.57,70.5
DELETE_LINK,1496584,4,5,12,13,100,200,200,300,500,600,1518.92,68.68
UPDATE_LINK,4003883,6,7,13,14,100,200,200,300,500,600,1623.14,70.67
COUNT_LINK,2445327,0.3,0.4,1,2,8,9,100,200,200,300,1299.24,31.75
MULTIGET_LINK,262629,0.5,0.6,2,3,19,20,200,300,300,400,1492.41,41.16
GET_LINKS_LIST,25354392,0.6,0.7,2,3,13,14,200,300,300,400,4021.04,36.44
